Name,Tagline,Technologies,Topics
52°North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,javascript - android - java - web services - ogc standards,citizen science - spatial information infrastructures - open standards - data analytics - Geoinformation
AboutCode,Scan code for origin - license and vulnerabilities,python - javascript - Django+PostgreSQL - C/Rust/Go,dependencies - vulnerabilities - SoftwareCompositionAnalysis - License - SBOM
Academy Software Foundation,Creating amazing OSS for Media & Entertainment.,c - python - opengl - c++ - rust,graphics - media - animation - Visual Effects - Film
AFLplusplus,State of the art fuzzing for better security,llvm - rust - fuzzing - qemu,fuzzing - ci
AnkiDroid,AnkiDroid makes remembering things easy,android - java - rust - kotlin - mobile,education - mobile - android - user generated content - Flashcards
AOSSIE,Australian Umbrella Org for Open-Source Projects,python - javascript - machine learning - scala - Blockchain,machine learning - electronic voting - natural language processing - social science
Apache Software Foundation,Open source software to the public free of charge,c - java - c++,big data - cloud - libraries - other
Apertus Association,open source cinema,python - c/c++ - fpga - rust - nix,computer vision - linux - camera - image processing - digital hardware design
ArduPilot,World's most advanced autonomous vehicle software,python - lua - c++ - pixhawk,robotics - Drone - autonomous vehicle - UGV - unmanned vehicle
Audacity,Free - open source - cross-platform audio software,c++ - qt - cmake - wxwidgets - VST,audio - editing - compression - Sound - Effects
BeagleBoard.org,Open hardware computing for educators and makers,linux - fpga - risc-v - dsp - Zephyr RTOS,robotics - iot - ai - software defined radio - Personal Server
Blender Foundation,The Freedom to Create,c - python - opengl - c++ - vulkan,games - graphics - 3d - rendering - animation
BRL-CAD,3D CAD & other computer-aided tech (CAx),python - c/c++ - opengl - opencl - scripting,geometry - 2d/3d graphics - ray tracing - high-performance computing - conversion standards
Casbin,Authorization library that supports RBAC and ABAC,javascript - java - go - OIDC - OAuth,security - cloud - authorization - IAM - Authentication
cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,mysql - javascript - java - react - typescript,genomics - cancer - bioinformatics - big data - precision medicine
CCExtractor Development,TV - Rust - Flutter - Linux - VR and C. In any order.,c - linux - rust - flutter,vr - linux - video - subtitles - mobile
Center for Research in Open Source Software (CROSS),Amplifying Research Imapct through Open Source,python - c/c++ - verilog,hardware - data science - networking - data management - systems
Center for Translational Data Science,Develop translational data science.,python - aws,bioinformatics - data science - cloud - Data Meshes
Ceph,The Future of Storage,python - javascript - c++,distributed systems - Software-Defined-Storage
CERN-HSF,Umbrella for Particle Physics-related projects,python - c/c++ - data analysis - artificial intelligence - container orchestration,machine learning - big data - algorithmics - particle physics - Performance Optimisation
CGAL Project,C++ library of computational geometry,c++ - qt,geometry - mesh processing - computation geometry - geometry processing
CHAOSS,Community Health Analytics Open Source Software,python - postgresql - javascript - machine learning - airflow,Diversity Equity and Inclusion - open source software metrics - software sustainability - community building - security and software bill of materials
checkstyle,Helps to adheres of Java coding standard,java - antlr,static code analysis‎ - code review tool - coding standards - coding conventions
CHIPS Alliance,Open source IP - tools & standards for ASIC/FPGA,fpga - chisel - risc-v - systemverilog - ASIC,soc - IP cores - ASIC design - HDL - chiplets
Chromium,Fast - seamless - safe - and reliable web for all,python - javascript - java - c++ - git,web - browser - operating-system
CircuitVerse.org,Build and learn logic circuits in the cloud!,javascript - rails - canvas,education - web - simulation - pedagogy - digital logic design
CNCF,Building sustainable ecosystems for cloud native,prometheus - kubernetes - OpenTelemetry - envoy,cloud - cloud native - observability
coreboot,Fast - secure and flexible BIOS firmware,c - assembly - arm - x86,hardware - drivers - firmware - boot loader - BIOS
CRIU,Chekpoint/Restore for Linux tasks and containers,c - python - linux - go,cloud - containers - Checkpoint/Restore
Cuneiform Digital Library Initiative (CDLI),Curating humanity's oldest written sources,mysql - javascript - docker - php - SCSS,linguistics - History - culture
Dart,Dart is a client language for apps on any platform,flutter - dart,programming languages - mobile apps
DBpedia,Global and Unified Access to Knowledge Graphs.,python - javascript - java - scala - rdf,natural language processing - semantic web - linked data - knowledge graph - data extraction
Debian,The Universal Operating System,c - python - java - ruby - perl,web - robotics - graphics - cloud - SDR
Department of Biomedical Informatics - Emory University,Biomedical research to advance healthcare,python - javascript - java - workflows - dicom,science and medicine - data integration - workflows - radiology - distributed system
Django Software Foundation,Web framework for perfectionists with deadlines,python - django,web - python
Drupal Association,The best open source digital experience platform,mysql - javascript - html - php - symfony,web - cloud - DXP - Massive community - Inclusive
Eclipse Foundation,The Global Open Source Foundation,java - che - deeplearning - eclipsejavaide - jakartaee,robotics - automotive - tools - cloud native java - iot & edge
Electron,Cross-platform desktop apps with web technologies,javascript - node.js - c++ - typescript - Chromium,desktop - framework - javascript
FFmpeg,Record - convert and stream audio & video,c - git - asm,audio - video - subtitles - multimedia
Flashrom,Reading - writing - verifying - erasing flash chips,c - x86 - bios - rom - spi,hardware - drivers - firmware - flash chips - low level programming
Forschungszentrum Jülich,Shaping change: open source for Big Science,python - mpi - high performance computing - pytorch - gpu,neuroscience - data analytics - astrophysics - data-intensive science - earth-system monitoring
Fortran-lang,High-performance parallel programming language,python - c++ - fortran,compilers - programming languages - build systems - libraries - Fortran
FOSSology,Open Source License Compliance by OSS,python - postgresql - c/c++ - php - reactjs,automation - spdx - license compliance - nlp - compliance automation
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,verilog - risc-v - compiler - web development,hardware - debug - web services - simulation - electronic design tools
FreeType,FreeType is a software library to render fonts.,c - autotools - meson,library - rendering - fonts - opentype - truetype
freifunk,Free and open wireless networks,c - python - javascript - openwrt - gnu/linux,embedded systems - open hardware - routing - wireless networks - federation
FRRouting,Routing suite including BGP - IS-IS - LDP - OSPF - PIM,c - linux - networking - linux kernel - routing,networking - software defined networking - linux - routing - systems
Genome Assembly and Annotation,Providing freely accessible genomic data,python - mysql - docker - pytorch - nextflow,machine learning - genomics - big data - cloud - hpc
Gentoo Foundation,A flexible - source-based Linux distribution.,c - python - shell - linux - bash,operating systems - security - embedded - init - package
GeomScale,Scalable geometric and statistical software,python - c++ - r - jupyter - github-actions,mathematics - data science - computational biology - computational geometry - statistics
Git,Fast -Scalable -Distributed revision control system,shell script - git - c language,version control - dvcs
GitLab,Everyone can contribute,javascript - ruby on rails - go - ruby - vue,cloud - devops
Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,python - postgresql - java - react - rust,web - genomics - bioinformatics - genetics - standards
GNOME Foundation,A diverse and sustainable free software desktop.,c - linux - rust - gtk - Flatpak,operating systems - desktop - graphics - open source - apps
GNSS-SDR,An open source GNSS software-defined receiver,c - c++ - sdr,gnss - geolocation - navigation - software defined radio - communications
GNU Compiler Collection (GCC),GNU compilers,c/c++ - gnu make - gnu autotools,compilers - developer tools - toolchain - openmp - link time optimization
GNU Image Manipulation Program,GIMP is a cross-platform image editor,c - GEGL,graphics - design - photography - illustration
GNU Octave,Free Your Numbers,c++ - hg,mathematics - scientific computing - numerical computation - numerical methods - matlab
GNU Radio,The free & open software radio ecosystem,python - c++ - qt - simd,real-time - dsp - communications engineering - cybersecurity - Software-Defined Radio
